Sun Azimuth (deg)	Sun Zenith (deg)	Phytoplankton	Scattering X	Scattering Y	CDOM G	CDOM S	Depth (m)	#wave length (nm) →	410	430	450	470	490	510	530	550	570	590	610	630	650	670	690	710	730
130	40	0.06	0.01	1	0.141	0.014	2	-	0.017138	0.020815	0.025129	0.029658	0.033871	0.036239	0.03941	0.041289	0.042274	0.031926	0.01816	0.016008	0.012988	0.0074326	0.0060719	0.0017461	0.00004095
130	40	0.033	0.01	1	0.09	0.014	2	-	0.023249	0.027499	0.031983	0.036491	0.040243	0.041542	0.043791	0.044688	0.044902	0.033643	0.018941	0.016763	0.013631	0.0080052	0.0063272	0.0017733	0.000041075
130	40	0.06	0.01	1	0.02	0.014	2	-	0.027955	0.030256	0.033489	0.037003	0.040162	0.041234	0.04349	0.044489	0.044718	0.033223	0.018685	0.016354	0.013199	0.0075222	0.0061269	0.0017578	0.000041093
130	40	0.094	0.01	1	0.141	0.014	2	-	0.015121	0.017919	0.021684	0.025809	0.029974	0.03278	0.036438	0.03893	0.040396	0.030537	0.017487	0.015279	0.012328	0.0068133	0.0057928	0.0017184	0.000040868
130	40	0.013	0.01	1	0.141	0.014	2	-	0.020425	0.025719	0.030985	0.036176	0.040352	0.04181	0.044046	0.044861	0.045057	0.033969	0.019137	0.017075	0.013962	0.008384	0.0064802	0.001785	0.000041063
130	40	0.06	0.01	1	0.09	0.014	2	-	0.020977	0.024302	0.028307	0.032511	0.036357	0.038244	0.041066	0.0426	0.043283	0.032465	0.01838	0.016153	0.013077	0.0074702	0.006095	0.001751	0.00004101
130	40	0.013	0.01	1	0.09	0.014	2	-	0.025116	0.030196	0.035094	0.039853	0.043486	0.044231	0.045966	0.046323	0.046154	0.034548	0.019369	0.01723	0.014057	0.0084266	0.006505	0.00179	0.000041123
130	40	0.06	0.01	1	0.05	0.014	2	-	0.024672	0.027511	0.031137	0.034987	0.038471	0.039917	0.042429	0.043666	0.044095	0.032896	0.018554	0.016267	0.013146	0.0074999	0.0061132	0.0017549	0.000041057
130	40	0.013	0.01	1	0.02	0.014	2	-	0.033893	0.038098	0.042	0.0458	0.048382	0.047882	0.048795	0.048438	0.047717	0.035363	0.019692	0.017446	0.014189	0.0084853	0.0065391	0.001797	0.000041206
130	40	0.033	0.01	1	0.05	0.014	2	-	0.027426	0.031231	0.035281	0.039368	0.042663	0.043408	0.045275	0.045824	0.045755	0.034092	0.019121	0.016882	0.013704	0.0080371	0.0063461	0.0017773	0.000041122
